Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,76.8,2013,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2013,Social support_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Young,Total,Total,10.44553852,2013,Labour market insecurity_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,66.09914154,2013,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Secondary education,4.787088394,2013,Labour market insecurity_Age:Total_Sex:Total_Education:Secondary education
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,73.2,2013,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2013,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,75.89103419,2013,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5.083333333,2013,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Female,Total,5.766370296,2013,Labour market insecurity_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2013,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,1.940012426,2013,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2013,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,87.5,2013,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,1_3_VER,Income and wealth,PT_B90_S14,Percentage of household wealth,Top wealthiest households decile,,Total,Total,Total,78.192551,2013,Top wealthiest households decile_Age:Total_Sex:Total_Education:Total
United States,1_3,Income and wealth,USD_HH_PPP,"US dollars per household, PPP converted",Median net wealth,,Total,Total,Total,70895,2013,Median net wealth_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,92.25759962,2013,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2013,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,46.4907312,2013,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,76.4,2013,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,15.527661,2013,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,8.242912146,2013,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2013,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,1.809428388,2013,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,1_2,Income and wealth,FCTR_Q1_INC,Factor of lowest income quintile,Top average household disposable income quintile,,Total,Total,Total,8.6,2013,Top average household disposable income quintile_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,15.45097804,2013,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,88.05000305,2013,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,17.90697674,2013,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,10.40938425,2013,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,1.42660669,2014,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,13.705179,2014,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,72.58171164,2014,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87.6,2014,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Tertiary education,2.196500778,2014,Labour market insecurity_Age:Total_Sex:Total_Education:Tertiary education
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,15.59387684,2014,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,80.113396,2014,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.868084166,2014,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,12.96455007,2014,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,4.9,2014,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,88.7,2014,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,84,2014,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,1.858939833,2014,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,39.51042175,2014,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,78.9,2014,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,12.95246452,2014,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,7.7,2014,Homicides_Age:Total_Sex:Male_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Old,Total,Total,3.292148829,2014,Labour market insecurity_Age:Old_Sex:Total_Education:Total
United States,3_1,Housing,PT_HH,Percentage of households,Households living in overcrowded conditions,,Total,Total,Total,3.783356398,2014,Households living in overcrowded conditions_Age:Total_Sex:Total_Education:Total
United States,3_4,Housing,PT_HH,Percentage of households,Poor households without access to basic sanitary facilities,,Total,Total,Total,0.485648122,2014,Poor households without access to basic sanitary facilities_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,75.3,2014,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2014,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2014,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2014,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,64513,2014,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.1,2014,Homicides_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2014,Social support_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Primary education,9.533039093,2014,Labour market insecurity_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92.5,2014,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,14.171073,2014,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2014,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Middle-aged,Total,Total,3.982477665,2014,Labour market insecurity_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,61.34791902,2014,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,5.435675621,2014,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,54.84893,2014,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2014,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,4.526520411,2014,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,79.6210007,2014,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,24.92748181,2014,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,43469,2014,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,81.3,2014,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,26.3604535,2014,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,30.4887712,2014,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Young,Total,Total,68.126899,2014,Feeling safe at night_Age:Young_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2014,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,67.88089,2014,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2014,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.58756137,2014,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,1.364060737,2014,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2014,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,72.98310759,2014,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.8,2014,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2014,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2014,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,81.86118772,2014,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,16.547,2014,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST,Percentage of previous earnings lost,Labour market insecurity,,Total,Total,Total,5.365456104,2014,Labour market insecurity_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,27.44290161,2014,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,1.507106176,2014,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2014,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,9.782464584,2014,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2014,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2014,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,1_4,Income and wealth,PT_POP,Percentage of population,Household disposable income below the relative income poverty line,,Total,Total,Total,17.5,2014,Household disposable income below the relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2014,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96.2,2014,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,78.1,2014,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2014,Social support_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Young,Total,Total,9.094662666,2014,Labour market insecurity_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,66.64127317,2014,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Secondary education,4.440380096,2014,Labour market insecurity_Age:Total_Sex:Total_Education:Secondary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2014,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,76.69906032,2014,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5.007915567,2014,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Female,Total,5.295672894,2014,Labour market insecurity_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2014,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,1.439979594,2014,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2014,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,88.1,2014,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,90.13756194,2014,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2014,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,47.63897499,2014,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,76.5,2014,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,14.644738,2014,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,8.412778057,2014,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2014,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,1.317136296,2014,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,1_2,Income and wealth,FCTR_Q1_INC,Factor of lowest income quintile,Top average household disposable income quintile,,Total,Total,Total,8.7,2014,Top average household disposable income quintile_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,15.98347399,2014,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,88.59999847,2014,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,17.45120551,2014,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,10.28711791,2014,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.977191991,2015,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,12.733352,2015,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,73.87092712,2015,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87.7,2015,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Tertiary education,1.946631789,2015,Labour market insecurity_Age:Total_Sex:Total_Education:Tertiary education
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,16.43566704,2015,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,81.183861,2015,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_6,Work and job quality,PT_SAL,Percentage of employees,Job strain,,Total,Total,Total,25.81718063,2015,Job strain_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.697918445,2015,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,13.90658262,2015,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.4,2015,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,88.5,2015,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,84.1,2015,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,1.32510947,2015,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,41.61937714,2015,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,78.7,2015,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,12.78216061,2015,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,8.7,2015,Homicides_Age:Total_Sex:Male_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Old,Total,Total,24.87554169,2015,Job strain_Age:Old_Sex:Total_Education:Total
